Designator,Mid X,Mid Y,Rotation,Layer
C1,68.5375,-40.2,0.0,bottom
C2,68.5375,-35.85,0.0,bottom
C3,68.5375,-31.5,0.0,bottom
D1,66.754001,-52.756601,235.0,bottom
D10,104.874501,-90.861601,235.0,bottom
D11,123.6,-81.25,270.0,bottom
D12,66.754001,-109.906601,235.0,bottom
D13,85.804001,-109.906601,235.0,bottom
D14,104.854001,-109.906601,235.0,bottom
D15,76.596401,-129.351601,235.0,bottom
D16,105.2,-129.35,235.0,bottom
D17,123.6,-119.7,270.0,bottom
D2,85.804001,-52.756601,235.0,bottom
D3,104.854001,-52.756601,235.0,bottom
D4,123.904001,-52.9924,270.0,bottom
D5,66.754001,-71.806601,235.0,bottom
D6,85.804001,-71.806601,235.0,bottom
D7,104.854001,-71.806601,235.0,bottom
D8,66.735,-91.11,235.0,bottom
D9,85.824501,-90.861601,235.0,bottom
DSPL,68.5,-82.7,270.0,bottom
ENC,58.2,-33.845,180.0,top
LVL SHIFTER,116.7,-68.2,270.0,bottom
PWR,116.325,-92.0,90.0,bottom
R1,56.3527,-61.9086,180.0,bottom
R2,56.3527,-80.9574,180.0,bottom
R3,56.3527,-100.0062,180.0,bottom
R4,56.3527,-119.055,180.0,bottom
R5,56.3527,-123.0235,0.0,bottom
R6,90.1,-31.7,90.0,top
SER,50.125,-30.315,180.0,top
SW1,59.2745,-53.92,0.0,top
SW10,97.3745,-92.025,0.0,top
SW11,116.435,-82.505,0.0,top
SW12,59.2745,-111.07,0.0,top
SW13,78.3245,-111.07,0.0,top
SW14,97.3745,-111.07,0.0,top
SW15,68.7995,-130.12,0.0,top
SW16,97.3745,-130.12,0.0,top
SW17,116.4245,-120.595,0.0,top
SW18,88.0,-61.9,180.0,bottom
SW2,78.3245,-53.92,0.0,top
SW3,97.3745,-53.92,0.0,top
SW4,116.4245,-53.92,0.0,top
SW5,59.2745,-72.97,0.0,top
SW6,78.3245,-72.97,0.0,top
SW7,97.3745,-72.97,0.0,top
SW8,59.2745,-92.025,0.0,top
SW9,78.3245,-92.025,0.0,top
U3,77.39,-35.71,90.0,top
